,,Q1-2004,Q2-2004,Q3-2004,Q4-2004,Q1-2005,Q2-2005,Q3-2005,Q4-2005,Q1-2006,Q2-2006,Q3-2006,Q4-2006,Q1-2007,Q2-2007,Q3-2007,Q4-2007,Q1-2008,Q2-2008,Q3-2008,Q4-2008,Q1-2009,Q2-2009,Q3-2009,Q4-2009,Q1-2010,Q2-2010,Q3-2010,Q4-2010,Q1-2011,Q2-2011,Q3-2011,Q4-2011,Q1-2012,Q2-2012,Q3-2012,Q4-2012,Q1-2013,Q2-2013,Q3-2013,Q4-2013,Q1-2014,Q2-2014,Q3-2014,Q4-2014,Q1-2015,Q2-2015,Q3-2015,Q4-2015,Q1-2016,Q2-2016,Q3-2016,Q4-2016,Q1-2017,Q2-2017,Q3-2017,Q4-2017,Q1-2018,Q2-2018,Q3-2018,Q4-2018,Q1-2019,Q2-2019,Q3-2019,Q4-2019,Q1-2020,Q2-2020,Q3-2020,Q4-2020,Q1-2021,Q2-2021,Q3-2021,Q4-2021,Q1-2022,Q2-2022,Q3-2022,Q4-2022,Q1-2023,Q2-2023,Q3-2023,Q4-2023,Q1-2024,Q2-2024
Brazil,Delta_Interest_JPY,16.15,15.9,16.15,17.65,19.15,19.65,19.4,17.9,16.4,15.15,13.85,12.85,12.0,11.25,10.5,10.5,10.5,11.5,13.0,13.45,10.95,8.95,8.45,8.45,8.45,9.95,10.45,10.45,11.45,11.95,11.7,10.7,9.45,8.2,7.2,6.95,6.95,7.7,8.7,9.7,10.45,10.7,10.7,11.45,12.45,13.45,13.95,13.95,13.95,13.95,13.95,13.45,11.95,9.95,7.95,6.7,6.2,6.2,6.2,6.2,6.2,6.2,5.2,4.2,3.45,2.39,1.7,1.7,2.1,3.6,5.2,8.6,10.93,12.69,13.45,13.45,13.45,13.45,12.78,11.66,11.66,11.66
Brazil,JPY,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.4,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Brazil,FFR,1.0,1.0,1.26,1.76,2.28,2.79,3.26,3.78,4.29,4.79,5.24,5.25,5.25,5.25,5.26,4.76,3.94,2.28,2.01,0.97,0.15,0.15,0.16,0.12,0.11,0.2,0.18,0.19,0.17,0.1,0.07,0.07,0.08,0.14,0.16,0.16,0.14,0.15,0.09,0.09,0.07,0.09,0.09,0.09,0.11,0.12,0.13,0.12,0.34,0.37,0.39,0.4,0.65,0.9,1.15,1.15,1.41,1.69,1.91,2.19,2.4,2.42,2.4,1.83,1.55,0.05,0.09,0.09,0.09,0.07,0.1,0.08,0.08,0.33,1.68,3.08,4.65,5.08,5.33,5.33,5.33,5.33
Brazil,ECB,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.25,3.5,3.75,4.0,4.5,4.75,5.0,5.0,5.0,5.0,5.0,5.25,3.0,2.5,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,2.0,2.25,1.75,1.75,1.75,1.5,1.5,1.5,1.0,1.0,0.75,0.75,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.5,2.75,3.75,4.0,4.25,4.75,4.75,4.75
Brazil,VIX,14.44,16.3,14.91,12.97,12.04,12.36,13.15,11.24,11.54,14.52,11.96,11.66,15.82,12.78,22.78,23.61,26.28,19.83,21.99,68.51,52.65,30.04,29.15,21.92,19.26,35.54,23.89,21.36,21.01,18.3,31.82,27.41,17.26,26.66,17.98,16.64,15.36,16.28,16.61,14.23,16.0,11.58,12.25,14.29,13.04,13.97,31.4,14.67,17.7,14.2,13.48,14.07,12.54,9.89,10.13,11.43,22.47,13.46,13.16,16.44,13.57,18.86,19.66,14.91,33.42,28.23,26.12,20.77,23.35,17.9,16.11,31.12,33.32,25.69,25.56,19.84,20.58,15.65,13.09,12.63,13.11,13.16
Brazil,WUI,12826.97,14036.94,14326.84,13994.63,14116.76,12877.17,15711.72,14918.91,13605.0,16080.32,13974.32,12467.29,13709.51,11730.96,14483.21,14525.91,12745.87,13256.69,12943.17,13841.78,14532.99,13059.04,14065.57,13742.63,14421.22,15644.23,16127.06,14742.34,16075.88,16742.34,19621.82,18218.82,19113.69,25315.06,23764.51,22170.6,23274.25,21872.17,21941.48,23593.38,21355.19,20741.19,18590.66,19159.67,21909.18,22376.54,22771.92,27336.31,24088.85,22924.96,33863.66,30551.2,32886.18,22192.55,18574.57,23726.95,19051.03,18437.45,20484.34,21724.66,29707.97,23832.26,25417.49,27789.54,27165.67,24050.38,33481.0,24511.59,17911.83,22550.07,23529.34,23117.64,22033.8,25434.66,20214.25,26940.26,19697.24,23722.65,22050.81,17744.12,16396.19,16396.19
Brazil,Ratings LC,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
Brazil,Ratings FC,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
Brazil,Pol_Risk,-0.275992811,-0.275992811,-0.275992811,-0.275992811,-0.263379753,-0.263379753,-0.263379753,-0.263379753,-0.294911116,-0.294911116,-0.294911116,-0.294911116,-0.357948095,-0.357948095,-0.357948095,-0.357948095,-0.313424706,-0.313424706,-0.313424706,-0.313424706,0.163664222,0.163664222,0.163664222,0.163664222,0.013475911,0.013475911,0.013475911,0.013475911,-0.132575423,-0.132575423,-0.132575423,-0.132575423,0.045961641,0.045961641,0.045961641,0.045961641,-0.258553296,-0.258553296,-0.258553296,-0.258553296,-0.070290133,-0.070290133,-0.070290133,-0.070290133,-0.331864446,-0.331864446,-0.331864446,-0.331864446,-0.38103506,-0.38103506,-0.38103506,-0.38103506,-0.480093956,-0.480093956,-0.480093956,-0.480093956,-0.459640145,-0.459640145,-0.459640145,-0.459640145,-0.714393616,-0.714393616,-0.714393616,-0.714393616,-0.445607245,-0.445607245,-0.445607245,-0.445607245,-0.41969654,-0.41969654,-0.41969654,-0.41969654,-0.3314659,-0.3314659,-0.3314659,-0.3314659,-0.3314659,-0.3314659,-0.3314659,-0.3314659,-0.3314659,-0.3314659
Brazil,market_volume_bonds,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04479999999999999,0.04479999999999999,0.04479999999999999,0.1047,0.3918,0.3918,0.3918,0.8866999999999999,0.8866999999999999,1.0249,1.0249,1.5748,1.5748,1.5748,1.5893,1.596,2.1582,2.2065,3.1555,4.3329,4.9986,5.3539,5.3539,5.7410000000000005,5.9754000000000005,6.257900000000001,7.123400000000001,7.364200000000001,8.4036,8.7131,8.8283,9.3632,10.6132,11.3598,15.6825,18.0905,19.8313,20.6599,22.4453,24.1926,24.462,25.5366,25.889499999999998,27.5833,30.5745,34.24679999999999
Brazil,market_volume_loans,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6596,0.6596,0.6596,0.6596,0.7951999999999999,0.963,0.963,0.963,0.963,0.963,0.963,1.3027000000000002,5.5367999999999995,5.5367999999999995,5.5367999999999995,6.2486,6.2486,6.6149,6.6149,14.7548,14.7548,14.7548,14.7548,14.7548,14.8616,15.3195,15.3195,15.705699999999997,15.705699999999997,16.165699999999998,16.165699999999998,16.434600000000003,16.489600000000003,16.489600000000003,16.489600000000003,16.602999999999998,17.152099999999997,17.3692,17.3692,17.6728,18.145899999999997,18.145899999999997,18.2459,18.3731,18.3731,18.6909,20.169700000000002,20.5963,20.5963,20.7823,20.7823,20.782300000000003,22.582300000000004,22.582300000000004,22.582300000000004,24.0695,24.0695,24.0695,28.0301,28.320400000000003,28.666000000000004,28.666000000000004,28.985400000000002,29.305400000000002
Brazil,Fin_dev,0.349931955337524,0.349931955337524,0.349931955337524,0.349931955337524,0.371688067913055,0.371688067913055,0.371688067913055,0.371688067913055,0.41725093126297,0.41725093126297,0.41725093126297,0.41725093126297,0.518831789493561,0.518831789493561,0.518831789493561,0.518831789493561,0.555216610431671,0.555216610431671,0.555216610431671,0.555216610431671,0.516129791736603,0.516129791736603,0.516129791736603,0.516129791736603,0.528451085090637,0.528451085090637,0.528451085090637,0.528451085090637,0.522340774536133,0.522340774536133,0.522340774536133,0.522340774536133,0.541808545589447,0.541808545589447,0.541808545589447,0.541808545589447,0.542160332202911,0.542160332202911,0.542160332202911,0.542160332202911,0.564413249492645,0.564413249492645,0.564413249492645,0.564413249492645,0.572683990001678,0.572683990001678,0.572683990001678,0.572683990001678,0.550749242305756,0.550749242305756,0.550749242305756,0.550749242305756,0.57053142786026,0.57053142786026,0.57053142786026,0.57053142786026,0.600381433963776,0.600381433963776,0.600381433963776,0.600381433963776,0.643020868301392,0.643020868301392,0.643020868301392,0.643020868301392,0.660737276077271,0.660737276077271,0.660737276077271,0.660737276077271,0.654686987400055,0.654686987400055,0.654686987400055,0.654686987400055,0.654686987400055,0.654686987400055,0.654686987400055,0.654686987400055,0.654686987400055,0.654686987400055,0.654686987400055,0.654686987400055,0.654686987400055,0.654686987400055
Brazil,Fin_depth,29.372770255415,29.372770255415,29.372770255415,29.372770255415,31.8397841564577,31.8397841564577,31.8397841564577,31.8397841564577,35.4251666677718,35.4251666677718,35.4251666677718,35.4251666677718,40.6909379403607,40.6909379403607,40.6909379403607,40.6909379403607,45.7822559936968,45.7822559936968,45.7822559936968,45.7822559936968,47.4942898437646,47.4942898437646,47.4942898437646,47.4942898437646,52.7646576277272,52.7646576277272,52.7646576277272,52.7646576277272,58.0784911048748,58.0784911048748,58.0784911048748,58.0784911048748,62.5192931966295,62.5192931966295,62.5192931966295,62.5192931966295,64.2305738235588,64.2305738235588,64.2305738235588,64.2305738235588,66.028510394056,66.028510394056,66.028510394056,66.028510394056,66.829700644229,66.829700644229,66.829700644229,66.829700644229,62.1940069702965,62.1940069702965,62.1940069702965,62.1940069702965,59.4843092982775,59.4843092982775,59.4843092982775,59.4843092982775,60.2183479373178,60.2183479373178,60.2183479373178,60.2183479373178,62.7905050746971,62.7905050746971,62.7905050746971,62.7905050746971,68.6961548524775,68.6961548524775,68.6961548524775,68.6961548524775,68.805224677681,68.805224677681,68.805224677681,68.805224677681,70.6060973782971,70.6060973782971,70.6060973782971,70.6060973782971,71.6466556109593,71.6466556109593,71.6466556109593,71.6466556109593,71.6466556109593,71.6466556109593
India,Interest rate,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,9.5,9.0,9.0,9.0,8.65,8.25,9.88,8.75,9.0,9.0,9.0,9.0,8.5,8.25,8.25,7.75,7.75,7.0,7.0,6.75,6.75,6.5,6.25,6.25,6.25,6.45,6.75,6.75,6.5,6.0,5.65,5.4,5.21,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,5.03,5.75,6.43,6.75,6.75,6.75,6.75,6.75,6.75
India,GDP Growth,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,8.1,8.1,8.1,8.1,7.7,7.7,7.7,7.7,3.1,3.1,3.1,3.1,7.9,7.9,7.9,7.9,8.5,8.5,8.5,8.5,5.2,5.2,5.2,5.2,5.5,5.5,5.5,5.5,6.4,6.4,6.4,6.4,7.4,7.4,7.4,7.4,8,8,8,8,8.3,8.3,8.3,8.3,6.8,6.8,6.8,6.8,6.5,6.5,6.5,6.5,3.9,3.9,3.9,3.9,-5.8,-5.8,-5.8,-5.8,9.7,9.7,9.7,9.7,7,7,7,7,7.8,7.8,7.8,7.8,6.8,6.8
India,GDP per cap,624.108,624.108,624.108,624.108,710.512,710.512,710.512,710.512,802.014,802.014,802.014,802.014,1022.732,1022.732,1022.732,1022.732,993.503,993.503,993.503,993.503,1096.637,1096.637,1096.637,1096.637,1350.634,1350.634,1350.634,1350.634,1449.604,1449.604,1449.604,1449.604,1434.018,1434.018,1434.018,1434.018,1438.057,1438.057,1438.057,1438.057,1559.864,1559.864,1559.864,1559.864,1590.174,1590.174,1590.174,1590.174,1714.28,1714.28,1714.28,1714.28,1957.97,1957.97,1957.97,1957.97,1974.378,1974.378,1974.378,1974.378,2050.163,2050.163,2050.163,2050.163,1915.552,1915.552,1915.552,1915.552,2250.179,2250.179,2250.179,2250.179,2366.31,2366.31,2366.31,2366.31,2500.356,2500.356,2500.356,2500.356,2730.774,2730.774
India,FX_long,0.005630692129238295,0.005750525269221267,0.007472666724497502,0.007670545541008898,0.008754183302764158,0.008752784327358973,0.008468182273603716,0.008056044615037316,0.00950511125140775,0.009509609278017243,0.00987719488563693,0.009899651929125194,0.010098469175209582,0.010039239130261944,0.011959366526742569,0.012154161830494972,0.012366041686648935,0.012630992317751107,0.0144897709085615,0.016395883143607373,0.01840514931483761,0.018972829430634313,0.019179714849695526,0.019179302167413276,0.019332572576070635,0.01950517006003695,0.020149942012178238,0.020239505904704316,0.020096467405987764,0.020141409442091338,0.020120609376654837,0.021290772404611077,0.022384466805248214,0.023065045939258025,0.022948519711802073,0.023091892684258018,0.023430965129862827,0.023480059371884996,0.023785277625385754,0.023571708042138692,0.02282820571897071,0.022583272455394914,0.021996764315276477,0.02197408229314926,0.021367014580078177,0.021178677478529473,0.020662739813071186,0.020664361805684046,0.02027739008732978,0.02045058332624994,0.020307193102737528,0.019373915557502872,0.018053435887674312,0.017526058454454648,0.016152393280323685,0.01586042660886555,0.015180344989017953,0.015151798742677821,0.013574249198133373,0.012722601240555105,0.012498568185567263,0.012643553744167174,0.01231249377797128,0.013019547385851173,0.012857641832753886,0.01376459338589267,0.01390995179406354,0.013802898880780292,0.01350315822847799,0.01314865319420499,0.013602900297001346,0.013718567033734844,0.014012919313695261,0.013728839493415024,0.013534640717668939,0.013629089954627823,0.01384452850717908,0.013849964084284551,0.013519851311464435,0.012641531299340661,0.011817361819705042,0.011309949943183498
